CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group,New_Group
Case1,Sockeye_CU_A,Sockeye,1950,3597.1268,1917,3597.1268,1917,45539,45539,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1951,6770.2656,3364,6770.2656,3364,47645,47645,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1952,10354.071,5116,10354.071,5116,51177,51177,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1953,6259.968,3600,6259.968,3600,32124,32124,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1954,9918.084,5352,9918.084,5352,50257,50257,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1955,4657.443,2905,4657.443,2905,60357,60357,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1956,8476.706,5179,8476.706,5179,25364,25364,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1957,6811.98,3314,6811.98,3314,20943,20943,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1958,10111.86,6235,10111.86,6235,23103,23103,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1959,9825.083,5232,9825.083,5232,23584,23584,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1960,5242.863,2252,5242.863,2252,16764,16764,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1961,5477.043,3014,5477.043,3014,24293,24293,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1962,7212.5562,4197,7212.5562,4197,40549,40549,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1963,4931.944,2693,4931.944,2693,9355,9355,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1964,4959.566,2666,4959.566,2666,48511,48511,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1965,4327.4592,2669,4327.4592,2669,20553,20553,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1966,5492.8468,2666,5492.8468,2666,23219,23219,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1967,641.0348,358,641.0348,358,9621,9621,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1968,7506.592,3455,7506.592,3455,106299,106299,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1969,4851.5194,2577,4851.5194,2577,13989,13989,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1970,2206.459,1205,2206.459,1205,8823,8823,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1971,422.127,223,422.127,223,11686,11686,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1972,7916.9968,4507,7916.9968,4507,57734,57734,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1973,2425.7732,1345,2425.7732,1345,9339,9339,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1974,2342.7273,1479,2342.7273,1479,12017,12017,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1975,2542.2096,1391,2542.2096,1391,6429,6429,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1976,8628.607,3976,8628.607,3976,19870,19870,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1977,359.8961,198,359.8961,198,5917,5917,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1978,2493,1343,2493,1343,18450,18450,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1979,1472.8524,693,1472.8524,693,3039,3039,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1980,5118.9264,2056,5118.9264,2056,51611,51611,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1981,639.2045,312,639.2045,312,8610,8610,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1982,2992,1533,2992,1533,3742,3742,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1983,2780,1821,2780,1821,4051,4051,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1984,14408.0214,6701,14408.0214,6701,46730,46730,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1985,3265.4688,1922,3265.4688,1922,4421,4421,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1986,2041.5775,1080,2041.5775,1080,3013,3013,1950,TRUE,SK-Fraser_Esum,Sk-Southern
Case1,Sockeye_CU_A,Sockeye,1987,1387.4632,723,1387.4632,723,3820,3820,1950,TRUE,SK-Fraser_Esum,Sk-Southern
