"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Status","DataType","Value"
"1","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",1995,"RelLBM",21855.943515063,13651,26833,"Amber","Abs_Abd",1.60105072998777
"2","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",1996,"RelLBM",24698.0799203392,13651,26833,"Amber","Abs_Abd",1.8092505985158
"3","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",1997,"RelLBM",25988.9048544477,13651,26833,"Amber","Abs_Abd",1.90380960035511
"4","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",1998,"RelLBM",25618.296945124,13651,26833,"Amber","Abs_Abd",1.87666082668845
"5","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",1999,"RelLBM",33401.9670010064,13651,26833,"Green","Abs_Abd",2.44685129301929
"6","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2000,"RelLBM",30824.7082850307,13651,26833,"Green","Abs_Abd",2.2580549619098
"7","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2001,"RelLBM",34596.2210734159,13651,26833,"Green","Abs_Abd",2.5343360247173
"8","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2002,"RelLBM",38406.6478317237,13651,26833,"Green","Abs_Abd",2.81346771897471
"9","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2003,"RelLBM",36107.5911023302,13651,26833,"Green","Abs_Abd",2.64505099277197
"10","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2004,"RelLBM",32325.4336466518,13651,26833,"Green","Abs_Abd",2.36799015798489
"11","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2005,"RelLBM",27864.9719285239,13651,26833,"Green","Abs_Abd",2.04124034345644
"12","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2006,"RelLBM",28966.0288213008,13651,26833,"Green","Abs_Abd",2.12189794310313
"13","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2007,"RelLBM",24249.3355064613,13651,26833,"Amber","Abs_Abd",1.7763779581321
"14","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2008,"RelLBM",23417.6737848105,13651,26833,"Amber","Abs_Abd",1.71545482270973
"15","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2009,"RelLBM",25477.5491782922,13651,26833,"Amber","Abs_Abd",1.86635039032248
"16","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2010,"RelLBM",26718.2553953535,13651,26833,"Amber","Abs_Abd",1.95723796024859
"17","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2011,"RelLBM",27459.868360194,13651,26833,"Green","Abs_Abd",2.01156460040979
"18","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2012,"RelLBM",19313.9845265335,13651,26833,"Amber","Abs_Abd",1.41484027005593
"19","Case1","Chinook","CU1_Chinook","SpnForAbd_Wild",2013,"RelLBM",19163.7215647858,13651,26833,"Amber","Abs_Abd",1.40383280087802
