"CU_ID","Species","Stock","Year","DataType","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","RelAbd","AbsAbd","NumStdMetrics","Value"
"Case1","Chinook","CU1_Chinook",1995,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,21855.943515063
"Case1","Chinook","CU1_Chinook",1996,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,24698.0799203392
"Case1","Chinook","CU1_Chinook",1997,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,25988.9048544477
"Case1","Chinook","CU1_Chinook",1998,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,25618.296945124
"Case1","Chinook","CU1_Chinook",1999,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,33401.9670010064
"Case1","Chinook","CU1_Chinook",2000,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,30824.7082850307
"Case1","Chinook","CU1_Chinook",2001,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,34596.2210734159
"Case1","Chinook","CU1_Chinook",2002,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,38406.6478317237
"Case1","Chinook","CU1_Chinook",2003,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,36107.5911023302
"Case1","Chinook","CU1_Chinook",2004,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,32325.4336466518
"Case1","Chinook","CU1_Chinook",2005,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,27864.9719285239
"Case1","Chinook","CU1_Chinook",2006,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,28966.0288213008
"Case1","Chinook","CU1_Chinook",2007,"Abs_Abd","Amber","Green","Green","Amber",NA,NA,"Amber","Green","Amber","Green",6,24249.3355064613
"Case1","Chinook","CU1_Chinook",2008,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,23417.6737848105
"Case1","Chinook","CU1_Chinook",2009,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,25477.5491782922
"Case1","Chinook","CU1_Chinook",2010,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,26718.2553953535
"Case1","Chinook","CU1_Chinook",2011,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,27459.868360194
"Case1","Chinook","CU1_Chinook",2012,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,19313.9845265335
"Case1","Chinook","CU1_Chinook",2013,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,19163.7215647858
"Case1","Chinook","CU1_Chinook",2014,"Abs_Abd","Amber","Green","Green","Amber",NA,NA,"Amber","Green","Amber","Green",6,16740.9250019487
"Case1","Chinook","CU1_Chinook",2015,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,20367.0910091003
"Case1","Chinook","CU1_Chinook",2016,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,23621.163216145
"Case1","Chinook","CU1_Chinook",2017,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,20264.2164546722
"Case1","Chinook","CU1_Chinook",2018,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,15820.7755839088
"Case1","Chinook","CU1_Chinook",2019,"Abs_Abd","Amber","Green","Amber","Amber",NA,NA,"Amber","Green","Amber","Green",6,14249.3082286595
"Case1","Chinook","CU1_Chinook",2020,"Abs_Abd","Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",6,19705.5071092156
"Case1","Chinook","CU1_Chinook",2021,"Abs_Abd","Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",6,24385.1520068173
"Case1","Chinook","CU1_Chinook",2022,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,29285.777771397
"Case1","Chinook","CU1_Chinook",2023,"Abs_Abd","Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",6,38625.899371848
"Case2","Sockeye","CU2_Sockeye",1995,"Abs_Abd","Red","Amber","Amber","Red",NA,"Red","Red","Amber","Red","Amber",6,2732.89930395003
